Rank,Time Spent (seconds),Number of People,Category
1,12392,1,Direct
2,11453,1,Indirect
3,4197,1,Uncategorized
4,3388,1,Eating
5,3088,1,Presentation
6,2703,1,Voice Chat
7,900,1,Comedy
8,722,1,General News & Opinion
9,633,1,General Utilities
10,539,1,General Business
11,471,1,Calendars
12,461,1,General Entertainment
13,356,1,Search
14,332,1,Travel & Outdoors
15,254,1,General Social Networking
16,223,1,General Software Development
17,170,1,Graphic Design
18,166,1,General Reference & Learning
19,136,1,Internet Utilities
20,131,1,Intelligence
21,131,1,Music
22,115,1,Maps & Regional
23,77,1,Audio Editing
